2026-06-29 19:24:35,141 | INFO | Downloading NIFTY data...
2026-06-29 19:24:41,102 | INFO | Saved 4205 rows.
2026-06-29 19:24:41,103 | INFO | File saved to C:\Users\prady\Desktop\NIFTY50\data\raw\nifty_5m.csv
2026-06-29 21:38:43,085 | INFO | Downloading NIFTY data...
2026-06-29 21:38:46,394 | INFO | Saved 4205 rows.
2026-06-29 21:38:46,395 | INFO | File saved to C:\Users\prady\Desktop\NIFTY50\data\raw\nifty_5m.csv
2026-06-30 15:13:04,527 | INFO | Downloading NIFTY data...
2026-06-30 15:13:08,640 | INFO | Data validation completed.
2026-06-30 15:13:08,789 | INFO | Saved 4202 rows.
2026-06-30 15:13:08,789 | INFO | File saved to C:\Users\prady\Desktop\NiftyAI\data\raw\nifty_5m.csv
2026-07-02 19:36:11,276 | INFO | Loaded 4204 rows.
2026-07-02 19:42:12,084 | INFO | Loaded 4204 rows.
2026-07-02 19:43:45,701 | INFO | Loaded 4204 rows.
2026-07-02 19:46:41,456 | ERROR | [Errno 2] No such file or directory: 'C:\\Users\\prady\\Desktop\\NiftyAI\\data\\raw\\nifty_5m.csv'
2026-07-02 19:48:35,537 | ERROR | [Errno 2] No such file or directory: 'C:\\Users\\prady\\Desktop\\NiftyAI\\data\\raw\\nifty_5m.csv'
2026-07-02 19:56:07,607 | INFO | Downloading NIFTY data...
2026-07-02 19:56:11,323 | INFO | Data validation completed.
2026-07-02 19:56:11,565 | INFO | Saved 4205 rows into 'nifty_5m'.
2026-07-02 19:56:11,565 | INFO | Saved 4205 rows.
2026-07-02 19:56:11,565 | INFO | File saved to C:\Users\prady\Desktop\NiftyAI\data\raw\nifty_5m.csv
2026-07-02 19:56:11,622 | INFO | Loaded 4205 rows.
2026-07-02 20:00:11,731 | INFO | Downloading NIFTY data...
2026-07-02 20:00:12,740 | INFO | Data validation completed.
2026-07-02 20:00:12,892 | INFO | Saved 4205 rows into 'nifty_5m'.
2026-07-02 20:00:12,893 | INFO | File saved to C:\Users\prady\Desktop\NiftyAI\data\raw\nifty_5m.csv
2026-07-02 20:00:12,948 | INFO | Loaded 4205 rows.
2026-07-02 20:08:21,725 | INFO | Downloading NIFTY data...
2026-07-02 20:08:22,709 | INFO | Data validation completed.
2026-07-02 20:08:22,857 | INFO | Saved 4205 rows into 'nifty_5m'.
2026-07-02 20:08:22,857 | INFO | File saved to C:\Users\prady\Desktop\NiftyAI\data\raw\nifty_5m.csv
2026-07-02 20:08:22,909 | INFO | Loaded 4205 rows.
2026-07-02 21:05:32,261 | INFO | Downloading NIFTY data...
2026-07-02 21:05:33,459 | INFO | Data validation completed.
2026-07-02 21:05:33,617 | INFO | Saved 4205 rows into 'nifty_5m'.
2026-07-02 21:05:33,617 | INFO | File saved to C:\Users\prady\Desktop\NiftyAI\data\raw\nifty_5m.csv
2026-07-02 21:05:33,670 | INFO | Loaded 4205 rows.
2026-07-03 21:32:40,531 | INFO | Downloading NIFTY data...
2026-07-03 21:32:47,740 | INFO | Data validation completed.
2026-07-03 21:32:48,303 | INFO | Saved 4205 rows into 'nifty_5m'.
2026-07-03 21:32:48,304 | INFO | File saved to C:\Users\prady\Desktop\NiftyAI\data\raw\nifty_5m.csv
2026-07-03 21:32:48,423 | INFO | Loaded 4205 rows.
2026-07-03 21:36:25,072 | INFO | Downloading NIFTY data...
2026-07-03 21:36:26,429 | INFO | Data validation completed.
2026-07-03 21:36:26,786 | INFO | Saved 4205 rows into 'nifty_5m'.
2026-07-03 21:36:26,787 | INFO | File saved to C:\Users\prady\Desktop\NiftyAI\data\raw\nifty_5m.csv
2026-07-03 21:36:26,907 | INFO | Loaded 4205 rows.
2026-07-03 21:41:27,694 | INFO | Downloading NIFTY data...
2026-07-03 21:41:28,834 | INFO | Data validation completed.
2026-07-03 21:41:29,135 | INFO | Saved 4205 rows into 'nifty_5m'.
2026-07-03 21:41:29,136 | INFO | File saved to C:\Users\prady\Desktop\NiftyAI\data\raw\nifty_5m.csv
2026-07-03 21:41:29,251 | INFO | Loaded 4205 rows.
2026-07-03 21:43:30,008 | INFO | Downloading NIFTY data...
2026-07-03 21:43:31,880 | INFO | Data validation completed.
2026-07-03 21:43:32,216 | INFO | Saved 4205 rows into 'nifty_5m'.
2026-07-03 21:43:32,216 | INFO | File saved to C:\Users\prady\Desktop\NiftyAI\data\raw\nifty_5m.csv
2026-07-03 21:43:32,351 | INFO | Loaded 4205 rows.
2026-07-03 21:44:58,831 | INFO | Downloading NIFTY data...
2026-07-03 21:45:00,239 | INFO | Data validation completed.
2026-07-03 21:45:00,556 | INFO | Saved 4205 rows into 'nifty_5m'.
2026-07-03 21:45:00,556 | INFO | File saved to C:\Users\prady\Desktop\NiftyAI\data\raw\nifty_5m.csv
2026-07-03 21:45:00,682 | INFO | Loaded 4205 rows.
2026-07-03 21:45:19,374 | INFO | Downloading NIFTY data...
2026-07-03 21:45:20,570 | INFO | Data validation completed.
